id,name_id,name_en,category,prep_type,calories,protein_g,carbs_g,fat_g,fiber_g,price_pasar_min,price_pasar_max,tags_json,cuisine_tags_json,verification_status,active
1,Nasi Goreng,Fried Rice,rice,buy_ready,380,8.5,55.3,12.4,1.2,15000,25000,"[""high_carb"",""egg""]","[""jawa""]",auto_verified,1
2,Gado-Gado,Gado-Gado,vegetable,buy_ready,280,7.2,24.5,16.8,4.5,12000,20000,"[""vegetarian"",""peanut""]","[""jawa""]",auto_verified,1
3,Sate Ayam,Chicken Satay,meat,simple_cook,350,25.3,12.4,22.1,1.5,20000,35000,"[""high_protein"",""chicken"",""grilled""]","[""jawa""]",auto_verified,1
4,Rendang,Beef Rendang,meat,simple_cook,420,28.5,15.2,28.4,2.1,35000,50000,"[""high_protein"",""beef"",""coconut""]","[""padang""]",auto_verified,1
5,Pecel Lele,Fried Catfish,fish,buy_ready,320,22.1,8.5,22.3,0.8,12000,18000,"[""high_protein"",""fish"",""fried""]","[""jawa""]",auto_verified,1
6,Sop Buntut,Oxtail Soup,soup,simple_cook,290,24.5,12.3,16.2,1.8,35000,50000,"[""high_protein"",""beef"",""soup""]","[""jawa""]",auto_verified,1
7,Pempek,Pempek,fish,buy_ready,340,12.5,38.2,16.5,1.0,15000,25000,"[""fish"",""fried"",""high_carb""]","[""palembang""]",auto_verified,1
8,Ayam Bakar Taliwang,Taliwang Grilled Chicken,meat,simple_cook,380,32.1,8.5,24.5,1.2,25000,40000,"[""high_protein"",""chicken"",""grilled"",""spicy""]","[""lombok""]",auto_verified,1
9,Capcay,Capcay,vegetable,buy_ready,180,6.5,22.4,8.2,3.5,12000,20000,"[""vegetarian"",""stir_fry""]","[""chinese_indonesian""]",auto_verified,1
10,Tempe Goreng,Fried Tempeh,vegetable,buy_ready,220,14.5,9.8,14.2,5.0,5000,10000,"[""vegetarian"",""high_protein"",""soy"",""fried""]","[""jawa""]",auto_verified,1
